Device,Device_ID
size010_length010,1
size010_length020,2
size010_length030,3
size015_length010,4
size015_length020,5
size015_length025,6
size015_length030,7
size015_length040,8
size020_length010,9
size020_length020,10
size020_length025,11
size020_length030,12
size020_length040,13
size020_length045,14
size020_length050,15
size020_length060,16
size020_length080,17
size020_length100,18
size025_length020,19
size025_length025,20
size025_length030,21
size025_length035,22
size025_length040,23
size025_length050,24
size025_length060,25
size025_length080,26
size030_length030,27
size030_length040,28
size030_length045,29
size030_length054,30
size030_length060,31
size030_length080,32
size030_length090,33
size030_length100,34
size030_length120,35
size030_length150,36
size030_length200,37
size035_length050,38
size035_length060,39
size035_length075,40
size035_length080,41
size035_length090,42
size035_length100,43
size036_length060,44
size040_length020,45
size040_length040,46
size040_length050,47
size040_length060,48
size040_length070,49
size040_length075,50
size040_length080,51
size040_length090,52
size040_length100,53
size040_length120,54
size040_length130,55
size040_length150,56
size040_length200,57
size040_length300,58
size045_length080,59
size045_length100,60
size045_length120,61
size045_length210,62
size050_length050,63
size050_length060,64
size050_length080,65
size050_length090,66
size050_length100,67
size050_length120,68
size050_length130,69
size050_length150,70
size050_length170,71
size050_length200,72
size050_length300,73
size060_length080,74
size060_length100,75
size060_length110,76
size060_length119,77
size060_length120,78
size060_length122,79
size060_length150,80
size060_length190,81
size060_length200,82
size070_length100,83
size070_length120,84
size070_length150,85
size070_length200,86
size070_length210,87
size070_length250,88
size070_length300,89
size080_length080,90
size080_length100,91
size080_length136,92
size080_length200,93
size080_length240,94
size080_length250,95
size080_length300,96
size080_length330,97
size090_length150,98
size090_length200,99
size090_length250,100
size090_length300,101
size100_length171,102
size100_length200,103
size100_length300,104
size100_length340,105
size100_length360,106
size100_length400,107
size110_length300,108
size120_length300,109
size120_length400,110
size120_length450,111
size130_length300,112
size140_length300,113
size140_length500,114
size160_length100,115
size160_length300,116
size160_length500,117
size180_length300,118
size180_length400,119
size180_length500,120
size200_length300,121
size200_length330,122
size200_length500,123
size220_length400,124
size220_length500,125
size240_length200,126
size240_length300,127
size240_length400,128
size260_length200,129
size280_length200,130
size300_length200,131
